ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Beijing-91_vomit-1-1,Beijing-91_vomit-1,tʰu⁵¹,1,false,expert,,,,,1
Haerbin-91_vomit-1-1,Haerbin-91_vomit-1,tʰu⁵³,1,false,expert,,,,,1
Jinan-91_vomit-1-1,Jinan-91_vomit-1,tʰu³¹,1,false,expert,,,,,1
Rongcheng-91_vomit-1-1,Rongcheng-91_vomit-1,ou²¹³⁻³⁵ tʰu²¹⁴,2,false,expert,,,,,1
Rongcheng-91_vomit-1-2,Rongcheng-91_vomit-1,ou²¹³⁻³⁵ tʰu²¹⁴,1,false,expert,,,,,2
Taiyuan-91_vomit-1-1,Taiyuan-91_vomit-1,tʰu⁵³ lə⁰,2,false,expert,,,,,1
Taiyuan-91_vomit-1-2,Taiyuan-91_vomit-1,tʰu⁵³ lə⁰,5,false,expert,,,,,2
XiAn-91_vomit-1-1,XiAn-91_vomit-1,ŋou²¹ tʰu⁵³,2,false,expert,,,,,1
XiAn-91_vomit-1-2,XiAn-91_vomit-1,ŋou²¹ tʰu⁵³,1,false,expert,,,,,2
Chengdu-91_vomit-1-1,Chengdu-91_vomit-1,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,4,false,expert,,,,,1
Chengdu-91_vomit-1-2,Chengdu-91_vomit-1,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,1,false,expert,,,,,2
Chengdu-91_vomit-1-3,Chengdu-91_vomit-1,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,5,false,expert,,,,,3
Chengdu-91_vomit-2-1,Chengdu-91_vomit-2,tʰu⁵³⁻⁵⁵ lo²¹,1,false,expert,,,,,1
Chengdu-91_vomit-2-2,Chengdu-91_vomit-2,tʰu⁵³⁻⁵⁵ lo²¹,5,false,expert,,,,,2
Chengdu-91_vomit-3-1,Chengdu-91_vomit-3,ŋəu⁵³⁻⁴⁵ lo²¹,2,false,expert,,,,,1
Chengdu-91_vomit-3-2,Chengdu-91_vomit-3,ŋəu⁵³⁻⁴⁵ lo²¹,5,false,expert,,,,,2
Nanjing-91_vomit-1-1,Nanjing-91_vomit-1,tʰu⁴⁴,1,false,expert,,,,,1
Nanjing-91_vomit-2-1,Nanjing-91_vomit-2,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,2,false,expert,,,,,1
Nanjing-91_vomit-2-2,Nanjing-91_vomit-2,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,1,false,expert,,,,,2
Jixi-91_vomit-1-1,Jixi-91_vomit-1,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,6,false,expert,,,,,1
