ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
1_white,white,1335,WHITE,白
2_back,back,1291,BACK,背
3_nose,nose,1221,NOSE,鼻子
4_ice,ice,617,ICE,冰
5_neck,neck,1333,NECK,脖子
6_thin,thin,2306,THIN (OF LEAF AND CLOTH),薄
7_not,not,1240,NOT,不
8_rub,rub,1449,RUB,擦
9_grass,grass,606,GRASS,草
10_long,long,1203,LONG,長
11_guts,guts,1334,GUTS,腸子
12_sing,sing,1261,SING,唱
13_dust,dust,2,DUST,塵土
14_eat,eat,1336,EAT,吃
15_wing,wing,1257,WING,翅膀
16_worm,worm,1219,WORM,蟲
17_blow,blow,175,BLOW (OF WIND),吹
18_stab,stab,1434,STAB,刺
19_hit,hit,353,STRIKE,打
20_fight,fight,1423,FIGHT,打
21_hunt,hunt,1435,HUNT,打獵
22_big,big,1202,BIG,大
23_dull,dull,379,BLUNT,呆，笨
24_fall,fall,1280,FALL,掉
25_animal,animal,619,ANIMAL,動物
26_belly,belly,1251,BELLY,肚子
27_short,short,1645,SHORT,短
28_correct,correct,1725,CORRECT (RIGHT),對
29_many,many,1198,MANY,多
30_ear,ear,1247,EAR,耳朵
31_two,two,1498,TWO,二
32_fly,fly,1441,FLY (MOVE THROUGH AIR),飛
33_wind,wind,960,WIND,風
34_sew,sew,1457,SEW,縫
35_rotten,rotten,1728,ROTTEN,腐爛
36_father,father,1217,FATHER,父親
37_dry,dry,1398,DRY,乾
38_liver,liver,1224,LIVER,肝
39_give,give,1447,GIVE,給
40_root,root,670,ROOT,根
41_dog,dog,2009,DOG,狗
42_bone,bone,1394,BONE,骨頭
43_stick,stick,1295,STICK,棍子
44_child,child,1304,CHILD (YOUNG HUMAN),孩子
45_sea,sea,1474,SEA,海
46_good,good,1035,GOOD,好
47_drink,drink,1401,DRINK,喝
48_and,and,1577,AND,和
49_river,river,3311,FLOWING BODY OF WATER,河
50_river,river,666,RIVER,江
51_black,black,163,BLACK,黑
52_red,red,156,RED,紅
53_thick,thick,1244,THICK,厚
54_breathe,breathe,1407,BREATHE,呼吸
55_lake,lake,624,LAKE,湖
56_flower,flower,239,FLOWER,花
57_bad,bad,1292,BAD,壞
58_yellow,yellow,1424,YELLOW,黃
59_ash,ash,646,ASH,灰
60_livealive,live(alive),1422,BE ALIVE,活的
61_fire,fire,221,FIRE,火
62_egg,egg,744,EGG,雞蛋
63_sharp,sharp,1396,SHARP,尖
64_horn,horn,1393,HORN (ANATOMY),角
65_foot,foot,1301,FOOT,腳
66_freeze,freeze,1431,FREEZE,結冰
67_near,near,1942,NEAR,近
68_cut,cut,1432,CUT,砍
69_see,see,1409,SEE,看見
70_wide,wide,1243,WIDE,寬
71_tie,tie,1917,TIE,捆
72_pull,pull,1455,PULL,拉
73_come,come,1446,COME,來
74_old,old,2112,OLD (AGED),老
75_cold,cold,1287,COLD,冷
76_flow,flow,2003,FLOW,流
77_path,path,2252,PATH,路
78_green,green,1425,GREEN,綠
79_full,full,1429,FULL,滿
80_name,name,1405,NAME,名字
81_mather,mather,1216,MOTHER,母親
82_holdtake,hold-take,2104,HOLD OR TAKE,拿
83_where,where,1237,WHERE,哪裡
84_that,that,78,THAT,那
85_there,there,1937,THERE,那人
86_man,man,1554,MAN,男人
87_you,you,1215,THOU,你
88_year,year,1226,YEAR,年
89_bird,bird,937,BIRD,鳥
90_woman,woman,962,WOMAN,女人
91_vomit,vomit,1278,VOMIT,嘔吐
92_fear,fear,1419,FEAR (BE AFRAID),怕
93_skin,skin,763,SKIN,皮膚
94_float,float,1574,FLOAT,漂浮
95_smooth,smooth,1234,SMOOTH,平
96_wife,wife,1199,WIFE,妻子
97_all,all,98,ALL,全部
98_hot,hot,1286,HOT,熱
99_person,person,683,PERSON,人
100_throw,throw,1456,THROW,扔
101_flesh,flesh,2259,FLESH,肉
102_if,if,1459,IF,如果
103_breasts,breasts,1402,BREAST,乳房
104_three,three,492,THREE,三
105_woods,woods,420,FOREST,森林
106_kill,kill,1417,KILL,殺
107_sand,sand,671,SAND,沙子
